epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1925.52,1.10648,1.18069,1.0342,0.38744,0.70005,0.52011,0.30229,1.28551,1.27134,1.13017,0.000664954,0.000664954,0.000664954
43,1972.51,1.09633,1.20863,1.02662,0.40259,0.59716,0.512,0.27933,1.2597,1.27712,1.13306,0.000662417,0.000662417,0.000662417
44,2017.4,1.09894,1.19018,1.03613,0.51631,0.39837,0.43144,0.23873,1.22641,1.2124,1.11632,0.000659879,0.000659879,0.000659879
45,2062.68,1.09115,1.19004,1.02754,0.64935,0.3715,0.47297,0.29227,1.25293,1.2695,1.1356,0.000657341,0.000657341,0.000657341
46,2107.69,1.08807,1.18793,1.03864,0.55769,0.43916,0.42552,0.2478,1.24878,1.21948,1.16179,0.000654804,0.000654804,0.000654804
47,2152.79,1.10237,1.19134,1.04477,0.43367,0.61112,0.52236,0.24456,1.30813,1.28237,1.17564,0.000652266,0.000652266,0.000652266
48,2198.05,1.1031,1.19374,1.04486,0.51376,0.43857,0.39745,0.22097,1.25973,1.25196,1.14987,0.000649728,0.000649728,0.000649728
49,2243.32,1.09681,1.14412,1.03793,0.54837,0.45831,0.55756,0.34169,1.23821,1.2088,1.12901,0.00064719,0.00064719,0.00064719
50,2290.61,1.06031,1.10791,1.02756,0.57017,0.41155,0.42541,0.24586,1.25737,1.26261,1.14339,0.000644653,0.000644653,0.000644653
51,2335.93,1.07065,1.11793,1.02559,0.38186,0.42814,0.37679,0.2161,1.29182,1.30215,1.16198,0.000642115,0.000642115,0.000642115
52,2381.37,1.06503,1.10277,1.01889,0.32935,0.48651,0.43214,0.25115,1.29917,1.2467,1.14551,0.000639577,0.000639577,0.000639577
53,2426.55,1.06877,1.12172,1.02501,0.58309,0.4879,0.52805,0.27019,1.28973,1.32151,1.17304,0.00063704,0.00063704,0.00063704
54,2471.75,1.07075,1.12381,1.03315,0.48776,0.56061,0.53202,0.34842,1.24583,1.25714,1.13106,0.000634502,0.000634502,0.000634502
55,2519.76,1.06342,1.10235,1.01019,0.33606,0.647,0.4338,0.28799,1.2481,1.28145,1.13118,0.000631964,0.000631964,0.000631964
56,2564.71,1.05147,1.07308,1.01591,0.39868,0.43234,0.43165,0.25835,1.25871,1.20272,1.14514,0.000629427,0.000629427,0.000629427
57,2610.38,1.0344,1.06845,1.00954,0.42709,0.53669,0.40287,0.25123,1.27452,1.27115,1.1459,0.000626889,0.000626889,0.000626889
58,2655.46,1.07056,1.1041,1.02056,0.34501,0.55063,0.4467,0.27745,1.22602,1.27654,1.11424,0.000624351,0.000624351,0.000624351
59,2700.55,1.05329,1.08003,1.02631,0.4991,0.50796,0.43402,0.25522,1.25409,1.29704,1.13144,0.000621813,0.000621813,0.000621813
60,2745.7,1.01711,1.06535,1.01392,0.47182,0.56617,0.54055,0.32625,1.26289,1.24267,1.11448,0.000619276,0.000619276,0.000619276
61,2791.22,1.00669,1.02291,0.99119,0.50619,0.61225,0.56611,0.34745,1.28664,1.28108,1.14548,0.000616738,0.000616738,0.000616738
62,2838.17,1.04685,1.04593,1.0164,0.46874,0.56333,0.51294,0.30092,1.23004,1.34245,1.11604,0.0006142,0.0006142,0.0006142
63,2882.91,1.01078,1.01991,1.00765,0.54917,0.55707,0.55659,0.37798,1.2815,1.27129,1.14088,0.000611663,0.000611663,0.000611663
64,2930.11,1.0264,1.02377,1.01047,0.50174,0.54225,0.54951,0.358,1.30303,1.21324,1.15788,0.000609125,0.000609125,0.000609125
